Date,New NAF,Unlink NAF,Link Change NAF,Label Change NAF,New LCSH,Unlink LCSH,Link Change LCSH,Label Change LCSH
2020-06-21,168,11,13,64,2,1,0,10
2020-06-22,76,1,8,31,1,0,0,16
2020-06-24,159,7,30,70,3,0,2,18
2020-06-26,191,3,24,85,6,1,2,25
2020-06-28,153,6,8,88,15,1,3,6
2020-06-29,65,3,8,40,3,0,1,3
2020-07-01,185,6,22,71,2,0,0,18
2020-07-03,203,6,27,74,1,0,0,19
2020-07-05,243,0,39,60,1,0,0,11
2020-07-06,116,7,5,36,4,0,0,4
2020-07-08,183,8,17,87,10,0,1,16
2020-07-10,1332,5,13,88,5,0,1,20
2020-07-12,161,5,32,81,18,0,1,12
2020-07-13,136,2,20,46,0,0,0,7
2020-07-15,228,1,244,99,1,1,4,11
2020-07-17,200,4,12,74,19,0,2,13
2020-07-19,199,4,78,85,8,0,2,10
2020-07-20,110,4,13,30,5,0,0,2
2020-07-22,198,4,16,69,4,0,0,12
2020-07-24,185,3,8,89,5,0,0,16
2020-07-26,193,3,16,273,9,1,3,17
2020-07-27,99,2,11,142,5,0,1,8
2020-07-29,199,2,15,131,26,2,2,7
2020-07-31,182,3,14,120,11,0,0,9
2020-08-02,210,5,13,115,25,1,1,16
2020-08-03,109,2,4,44,10,1,1,12
2020-08-05,191,1,18,89,12,1,1,25
2020-08-07,186,7,14,125,14,0,1,17
2020-08-09,176,4,16,50,3,0,3,10
2020-08-10,60,2,4,38,1,0,0,10
2020-08-12,169,2,15,115,12,3,1,11
2020-08-14,156,4,13,55,14,5,5,19
2020-08-16,229,1,11,65,1,2,1,10
2020-08-17,108,4,8,33,7,0,1,4
2020-08-19,163,6,20,84,22,0,1,15
2020-08-21,220,4,17,106,9,1,2,10
2020-08-23,173,9,11,108,4,0,2,11
2020-08-24,97,1,7,61,1,1,1,12
2020-08-26,7570,7,11,65,32,0,0,10
2020-08-28,345,9,30,79,6,0,2,10
2020-08-31,512,8,22,119,8,0,1,16
2020-09-02,394,10,20,97,16,1,2,15
2020-09-04,331,8,19,106,11,0,3,11
2020-09-06,366,5,14,78,8,1,1,13
2020-09-07,138,2,7,30,2,0,2,15
2020-09-09,311,10,27,78,3,2,2,42
2020-09-11,348,4,42,90,10,0,1,7
2020-09-13,326,6,16,61,8,0,0,13
2020-09-14,233,4,11,31,2,0,0,9
2020-09-16,316,5,17,114,6,0,4,15
2020-09-18,390,7,24,81,24,1,1,14
2020-09-20,305,3,21,59,7,0,1,16
2020-09-22,327,2,19,83,25,0,0,174
2020-09-24,387,10,19,86,29,1,0,29
2020-09-29,27,2,2,12,2,0,0,6
2020-09-30,212,2,9,39,2,0,0,4
2020-10-02,275,2,15,84,8,2,1,24
2020-10-04,222,3,18,63,7,1,1,10
2020-10-05,115,0,3,36,6,1,3,3
2020-10-07,286,0,18,65,11,0,0,15
2020-10-09,337,14,27,66,8,0,3,11
2020-10-11,282,6,18,57,24,2,1,11
2020-10-12,148,7,6,40,1,0,1,9
2020-10-14,303,9,19,61,18,2,3,17
2020-10-16,294,17,22,68,18,0,3,16
2020-10-18,386,7,15,79,20,0,3,15
2020-10-19,138,8,23,30,5,0,1,7
2020-10-21,279,6,107,99,9,0,0,17
2020-10-23,360,11,12,93,11,0,3,18
2020-10-25,379,13,12,66,7,1,1,11
2020-10-26,158,11,7,40,13,0,0,8
2020-10-28,253,10,20,66,13,1,2,24
2020-10-30,229,10,19,85,24,1,1,46
2020-11-01,292,5,16,77,17,1,2,22
2020-11-02,164,5,13,42,6,0,2,14
2020-11-04,263,6,11,81,15,3,0,29
2020-11-06,321,14,12,81,10,1,7,12
2020-11-08,271,9,6,97,5,1,4,13
2020-11-09,173,7,9,31,3,0,2,10
2020-11-11,243,4,8,68,23,1,1,15
2020-11-13,257,6,12,64,16,0,0,9
2020-11-15,215,2,15,75,37,2,4,15
2020-11-16,138,7,11,51,8,2,1,11
2020-11-18,384,7,27,88,9,1,4,16
2020-11-20,366,7,17,88,6,0,0,29
2020-11-22,338,10,24,72,7,0,2,13
